#separator:tab
#html:false
姜	goeng 1 A surname
釘	deng 1 nail (spike-shaped fastener)
爛	laan 6 (of fruits, etc.) rotten; spoiled; decayed
同	tung 4 same; identical
奔	ban 1 to run fast; to rush about
往	wong 5 to go to; to head for
邊	bin 1 edge; border; side
跌	dit 3 to fall down
宕	dong 6 stone quarry
緊	gan 2 tense; tight; taut; tightly
跨	kwaa 1 to step across
宇	jyu 5 universe
宙	zau 6 eon
橫	waang 4 to move crosswise; to cross; to traverse; to stretch across
越	jyut 6 (of time) to pass; to go through
洪	hung 4 big; vast; grand
荒	fong 1 wasteland; desert
岸	ngon 5 beach; coast
護	wu 6 to protect; to safeguard; to defend; to shelter
航	hong 4 ship; boat
互	wu 6 mutually; reciprocally
狂	kwong 4 mad; insane; crazy
暴	bou 6 violent; cruel; brutal; tyrannical
歲	seoi 3 Classifier for age
致	zi 3 to cause; to result in
慌	fong 1 to feel nervous; to get flustered; to get flurried
員	jyun 4 personnel; staff member
藍	laam 4 blue
剔	tik 1 checkmark
誘	jau 5 to persuade; to entice; to tempt
惑	waak 6 confused; puzzled
等	dang 2 wait
關	gwaan 1 to concern; to implicate; to relate to
注	zyu 3 to concentrate; to pay attention
追	zeoi 1 to chase after; to pursue (someone)
在	zoi 6 to be at; to be in; to be located
螢	jing 4 firefly
幕	mok 6 curtain; screen; tent
裡	leoi 5 (postpositional) in; inside
牽	hin 1 to think about (someone); to be concerned about
掛	gwaa 3 to hang; to suspend
通	tung 1 to pass through; to travel through; to go through; or, to allow passage
訊	seon 3 information; news
被	bei 6 by
限	haan 6 boundary; limit; line
制	zai 3 to plan; to regulate
必	bit 1 must; have to; shall
怕	paa 3 to fear; to be afraid of
封	fung 1 to close; to seal; to bind
鎖	so 1 lock
就	zau 6 then
放	fong 3 to release; to free
概	koi 3 general idea
足	zuk 1 to satisfy; to fulfill
證	zing 3 to prove; to testify; to verify
實	sat 6 truth; fact; substance; reality
情	cing 4 feeling; sentiment; emotion
傷	soeng 1 wound; injury
治	zi 6 to treat; to cure (disease)
理	lei 5 to manage; to run; to handle
誰	seoi 4 who
知	zi 1 to know; to understand; to comprehend
傳	cyun 4 to pass down; to hand down
時	si 4 time; season
動	dung 6 to move; to happen
態	taai 3 condition; state
定	ding 6 stable; steady; fixed
直	zik 6 straight; linear; undeviating
播	bo 3 to broadcast; to spread
但	daan 6 but; however; yet; still
清	cing 1 distinct; clear; apparent
楚	co 2 clear; distinct
終	zung 1 end; ending; termination
止	zi 2 to stop; to halt
交	gaau 1 to hand over; to turn in; to submit
往	wong 5 past; previous
更	gang 3 more; further; even more
快	faai 3 pleased; happy
樂	lok 6 joyful; happy; glad
過	gwo 3 to cross; to pass; to go across; to pass through
退	teoi 3 to step back; to move backwards
出	ceot 1 to go out
驚	geng 1 to fear; to be afraid
訝	ngaa 2 to be surprised; to be astonished
什	sam 6 miscellaneous; assorted
反	faan 2 reverse; opposite; contrary; anti-
效	haau 6 result; effect
果	gwo 2 result
隔	gaak 3 to separate; to partition
籬	lei 4 fence made of bamboo or branches
很	han 2 very; rather; quite
想	soeng 2 to think
搞	gaau 2 to make; to produce
醉	zeoi 3 to become drunk; to become intoxicated
喊	haam 3 to shout; to cry; to yell; to howl
慰	wai 3 to comfort; to console; to calm
獨	duk 6 alone; single; solitary
別	bit 6 to distinguish; to differentiate; to discriminate
麼	mo 1 A suffix for forming pronouns or adverbs (sam mo)
期	kei 4 to hope; to wish; to expect
待	doi 6 to wait
分	fan 1 to divide; to separate
幾	gei 2 how much; how many
秒	miu 5 second
視	si 6 to see; to look; to view
節	zit 3 festival; celebration; holiday;
未	mei 6 to have not; not ye
提	tai 4 to mention; to nominate
及	kap 6 to reach; to extend to
每	mui 5 every; each
晚	maan 5 night
勉	min 5 to endeavor; to make an effort; to strive
強	koeng 4 staunch; strong-willed
全	cyun 4 whole; entire; all
面	min 6 face
離	lei 4 to leave, to depart
線	sin 3 thread
曾	cang 4 already; ever; once (in the past); previously
犯	faan 6 to commit (crime), to violate
錯	co 3 wrong; erroneous; incorrect
懶	laan 5 lazy; indolent; slothful
墊	zin 3 pad; cushion; mat
底	dai 2 bottom; underneath; underside
回	wui 4 to turn around
復	fuk 6 to return
掣	zai 3 button
無	mou 4 Negation particle preceding verbs and adjectives. not
廢	fai 3 to waste; to squander
掉	diu 6 to drop; to fall
蹤	zung 1 footprint; trace; track
何	ho 4 what; which; why; how
苦	fu 2 difficult; painful; hard
低	dai 1 low (of height)
盲	maang 4 blind
目	muk 6 to look; to view; to see
愛	oi 3 love
痛	tung 3 to hurt; to cause pain
著	zoek 3 Particle denoting the success or continuation of an action.
蹉	co 1 to be frustrated; to be disheartened; to be disappointed
跎	to 4 to be frustrated; to be disheartened; to be disappointed
說	syut to say; to speak
句	geoi 3 sentence; phrase
再	zoi 3 again; once again
見	gin 3 to see
為	wai 6 for; to
根	gan 1 base; basis; foundation
本	bun 2 source; origin; root
斷	tyun 5 to break; to snap
聯	lyun 4 to connect; to join
繫	hai 6 to tie; to fasten; to button up
答	daap 3 to answer; to reply
解	gai 3 to explain
慢	maan 6 slow; sluggish
遲	ci 4 late; tardy
來	loi 4 to come; to arrive
挽	waan 5 to pull back, to draw back
留	lau 4 to stay
疚	gau 3 guilt; sorrow
從	cung 4 through; via; by
懂	dung 2 to understand; to comprehend
體	tai 2 to put oneself in someone else's position
貼	tip 3 to be attached to
憂	jau 1 grief; melancholy
應	jing 1 should; ought to
像	zoeng 6 to resemble; to be like
隻	zek 3 Classifier for certain animals
蝸	wo 1 terrestrial snail
唯	wai 4 only
讓	joeng 6 to allow; to let; to permit
點	dim 2 a little; a bit; some
發	faat 3 to generate; to produce
現	jin 6 to appear; to manifest; to become visible
慨	koi 2 to rue; to be sad
陋	lau 6 plain; ugly
習	zaap 6 habit; custom
缺	kyut 3 imperfect; flawed
改	goi 2 to change; to transform; to alter; to modify
自	zi 6 self, oneself; one's own
耐	noi 6 to bear; to endure
賽	coi 3 competition; contest; race
察	caat 3 to examine; to investigate; to notice
覺	gok 3 to become aware; to dawn on; to awaken to
忍	jan 5 to endure; to bear; to suffer
仿	fong 2 to imitate
佛	fat 6 Buddha
痴	ci 1 foolish; stupid; dumb; silly
呆	ngoi 4 dull-minded; simple; stupid
空	hung 1 empty; hollow; void
白	baak 6 white
夾	gaap 3 to squeeze between; to pinch; to clamp; to hold between
雜	zaap 6 miscellaneous; mixed
慚	caam 4 ashamed; embarrassed
愧	kwai 3 ashamed; guilty; conscience-stricken; mortified
腦	nou 5 brain
袋	doi 6 bag; sack; pouch; pocket
才	coi 4 ability; gift; talent; capability
洞	dung 6 thorough; penetrating
悉	sik 1 to know; to learn; to be informed of
醒	sing2 to sober up
常	soeng 4 normal; general; common
連	lin 4 to link; to join; to connect
累	leoi 6 to involve; to implicate; to embroil; to entangle; to hinder
由	jau 4 cause; reason
借	ze 3 to lend
最	zeoi 3 most
量	loeng 4 to measure
把	baa 2 to hold; to grasp; to take
麗	lai 6 beautiful; lovely; pretty; fair; elegant
諾	nok 6 to promise
言	jin 4 to say; to speak; to talk
裝	zong 1 to load; to stack; to cram; to fill
載	zoi 3 to carry; to hold; to be loaded with
長	coeng 4 long
跑	paau 2 to run
厭	jim 3 to be fed up with; to grow bored of; to become tired of
倦	gyun 6 tired; weary
饒	jiu 4 to forgive; to have mercy on
恕	syu 3 to forgive; to pardon; to show mercy
學	hok 6 to comprehend; to realise; to understand
嘆	taan 3 to sigh
息	sik 1 to breathe; to pant
待	doi 6 to wait
薄	bok 6 to approach
孤	gu 1 alone; solitary
獨	duk 6 alone; single; solitary
地	dei 6 earth
至	zi 3 extreme; most
起	hei 2 to rise; to go up; to move up
次	ci 3 order; sequence
結	git 3 to end; to finish
局	guk 6 part; component
睬	coi2 to notice, to pay attention to
鈍	deon 6 dull; blunt; not sharp
寂	zik 6 lonely; solitary
寞	mok 6 lonely; desolate
痴	ci 1 foolish; stupid; dumb; silly
堆	deoi 1 heap; pile; mound
收	sau 1 to accept; to take in; to admit into
於	jyu 1 (indicates time or place) in; at; on
剪	zin 2 to cut (paper, etc.)
碎	seoi 3 shattered; fragmented; shredded
濃	nung 4 thick; concentrated
蜜	mat 6 honey
冷	laang 5 cold; cool
默	mak 6 to be silent; to keep quiet; to keep still
蒼	cong 1 blue; green
載	zoi 3 to ride; to travel (by); to take
昔	sik 1 former times; the past; long ago; ancient times
唏	hei 1 (literary, onomatopoeia) to sigh; to sob
噓	heoi 1 to sigh; to lament
迷	mai 4 to get lost
霧	mou 6 fog; mist
漸	zim 6 to advance gradually
散	saan 2 to become loose; to break apart; to fall apart
逝	sai 6 to pass; to leave; to go off
顯	hin 2 to appear; to manifest; to display
崎	kei 4 (literary or Min Nan) steep; precipitous; rugged
嶇	keoi 1 rugged; rough
陰	jam 1 cloudy; overcast
沖	cung 1 to pour water on; to rinse; to flush; to wash
沉	cam 4 to sink; to submerge (into water)
憔	ciu 4 (of person) wan and sallow
悴	seoi 6 sad; distressed; despondent
陪	pui 4 to keep someone company; to accompany; to go with
寄	gei 3 to live away from home
居	geoi 1 house; residence; dwelling
傾	king 1 (Cantonese) to chat; to converse
悔	fui 3 to repent; to show remorse; to regret
消	siu 1 to disappear; to vanish; to die down; to settle down
告	gou 3 to announce; to declare
站	zaam 6 to stand
樹	syu 6 tree
氧	joeng 5 (chemistry) oxygen
夕	zik 6 night; evening; dusk
寥	liu 4 quiet; tranquil; still
權	kyun 4 power; authority
谷	guk 1 valley; gorge; ravine
將	zoeng 1 will; going to
族	zuk 6 clan; family clan; tribe
戲	hei 3 to play; to amuse; to have fun
位	wai 6 position; location
巔	din 1 summit of mountain; mountain top; peak
俯	fu 2 to look from above; to overlook; to look down
瞰	ham 3 overlook
喘	cyun 2 to pant; to gasp
侮	mou 5 to insult, ridicule, disgrace
辱	juk 6 disgrace; shame; discredit
適	sik 1 to go; to proceed (to a place)
宜	ji 4 appropriate; suitable; proper
滯	zai 6 to hold back; to stay (to hinder); to encumber; to impede
整	zing 2 to fix, to repair
凌	ling 4 disorderly; messy
團	tyun 4 group; collective; panel; team; organization
圓	jyun 4 (mathematics) circle
程	cing 4 stage of a journey
愈	jyu 6 more and more; even more
崖	ngaai 4 cliff; precipice
園	jyun 4 garden; orchard
彷	fong 2 to resemble; to be similar
彿	fat 1 as if; as though
揮	fai 1 to wipe away to disperse; to scatter
墮	do 6 to fall; to sink
播	bo 3 to broadcast; to spread
區	keoi 1 area; district; region; ward
嚴	jim 4 strict, rigorous, rigid
苛	ho 1 harsh; severe; exacting
尚	soeng 6 still; yet
偷	tau 1 to steal; to snatch
魂	wan 4 soul; spirit
盤	pun 4 tray; plate; dish
旋	syun 4 to revolve; to turn
埋	maai 4 to bury; to secrete; to conceal
藏	cong 4 to store; to lay
滲	sam 3 to seep; to infiltrate
拾	sap 6 to pick up
輕	hing 1 gentle; light; soft
喚	wun 6 to call; to summon
醒	sing 2 to awaken; to wake up
幸	hang 6 fortunate; lucky
運	wan 6 fortune; luck; fate
落	lok 6 to go down; to descend
寞	mok 6 lonely; desolate
欣	jan 1 happy; joyous; delighted
燃	jin 4 to burn; to be alight
熱	jit 6 hot; heated; having a high temperature
困	kwan 3 to surround; to besiege
折	zit 3 to break off; to snap; to pluck off
領	ling 5 to understand
略	loek 6 plan; strategy; summary; outline
抉	kyut 3 to choose; to select
擇	zaak 6 to select; to choose; to pick out
諾	nok 6 to promise
激	gik 1 to excite; to arouse; to incite; to irritate
詩	si 1 poem; verse; ode; poetry
篇	pin 1 piece of writing
慕	mou 6 to admire; to adore
艱	gaan 1 difficult; hard
苦	fu 2 bitter
陪	pui 4 to keep someone company; to accompany; to go with
呼	fu 1 to breathe out; to exhale; to sigh
夢	mung 6 dream
伊	ji 1 (literary) this; that
甸	din 6 suburbs of capital
枕	zam 2 pillow
差	caa 1 to differ from; to be different; dissimilar; incongruous
寸	cyun 3 (units of measure) A cun or Chinese inch, a traditional unit of length of about 3 cm.
糾	gau 2 to entwine; to wind
纏	cin 4 to wind; to tie; to bind
權	kyun 4 power; authority
利	lei 6 benefit; advantage
后	hau 6 king; ruler; emperor
愫	sou 3 guileless, sincere, honest
思	si 1 to think; to cogitate
末	mut 6 final; the last; concluding; closing; terminal
章	zoeng 1 chapter; section
翻	faan 1 to reverse; to flip over; to turn over; to toss
樣	joeng 6 appearance; form; shape
終	zung 1 end; ending; termination
極	gik 6 extremely; exceedingly; very
敢	gam 2 to dare (to); to venture (to)
奇	kei 4 strange; odd; weird; unusual
沾	zim 1 to be stained with; to be contaminated by
污	wu 1 unclean; dirty; filthy
尾	mei 5 end
猶	jau 4 to be like; to be just as
碰	pung 3 to collide; to bump; to knock; to touch
秘	bei 3 mysterious; abstruse; secret
密	mat 6 dense; thick; close
現	jin 6 present; current
揭	kit 3 to raise
曉	hiu 2 to know; to understand; to get
承	sing 4 to continue; to carry on; to succeed
歡	fun 1 happy; pleased; glad
宵	siu 1 (Classical Chinese) night, evening
飄	piu 1 to drift
渺	miu 5 endlessly long; boundless; vast
餘	jyu 4 to remain; to have left
繞	jiu 2 to entwine
愿	jyun 6 honest and prudent
距	keoi 5 distance
味	mei 6 taste; flavor
跳	tiu 3 to jump; to leap; to hop
搖	jiu 4 to wag; to swing; to wave
球	kau 4 ball, globe, orb
場	coeng 4 open space; field; market
片	pin 3 film; TV play; photograph; record
段	dyun 6 Classifier for a distance or a period of time.
祈	kei 4 pray
算	syun 3 to count; to calculate; to figure
遠	jyun 5 distant; remote; far
刻	hak 1 moment in time
渴	hot 3 thirsty
即	zik 1 though; although
使	si 2 to let; to make; to cause to
聚	zeoi 6 to congregate
短	dyun 2 short (of distance)
許	heoi 2 to allow; to permit
遷	cin 1 to change; to shift; to transfer
隨	ceoi 4 to accompany
雖	seoi 1 although; even if; despite
耗	hou 3 consume, use up
損	syun 2 to reduce; to decrease; to cut; to diminish
扭	nau 2 to wring
轉	zyun 2 (transitive) to turn; to revolve
熱	jit 6 hot; heated; having a high temperature
暖	nyun 5 warm; toasty
純	seon 4 pure, clean, simple
站	zaam 6 to stand
樹	syu 6 tree
氧	joeng 5 (chemistry) oxygen
夕	zik 6 night; evening; dusk
寥	liu 4 quiet; tranquil; still
權	kyun 4 power; authority
谷	guk 1 valley; gorge; ravine
將	zoeng 1 will; going to
族	zuk 6 clan; family clan; tribe
戲	hei 3 to play; to amuse; to have fun
位	wai 6 position; location
巔	din 1 summit of mountain; mountain top; peak
俯	fu 2 to look from above; to overlook; to look down
瞰	ham 3 overlook
喘	cyun 2 to pant; to gasp
侮	mou 5 to insult, ridicule, disgrace
辱	juk 6 disgrace; shame; discredit
適	sik 1 to go; to proceed (to a place)
宜	ji 4 appropriate; suitable; proper
滯	zai 6 to hold back; to stay (to hinder); to encumber; to impede
整	zing 2 to fix, to repair
凌	ling 4 disorderly; messy
團	tyun 4 group; collective; panel; team; organization
圓	jyun 4 (mathematics) circle
程	cing 4 stage of a journey
愈	jyu 6 more and more; even more
崖	ngaai 4 cliff; precipice
園	jyun 4 garden; orchard
彷	fong 2 to resemble; to be similar
彿	fat 1 as if; as though
揮	fai 1 to wipe away to disperse; to scatter
墮	do 6 to fall; to sink
播	bo 3 to broadcast; to spread
區	keoi 1 area; district; region; ward
嚴	jim 4 strict, rigorous, rigid
苛	ho 1 harsh; severe; exacting
尚	soeng 6 still; yet
偷	tau 1 to steal; to snatch
魂	wan 4 soul; spirit
盤	pun 4 tray; plate; dish
旋	syun 4 to revolve; to turn
埋	maai 4 to bury; to secrete; to conceal
藏	cong 4 to store; to lay
論	leon 6 to discuss; to reason; to debate; to argue
振	zan 3 raise, excite, arouse action
慰	wai 3 to comfort; to console; to calm
解	gaai 2 to explain
儘	zeon 2 utmost; extreme; furthest
講	gong 2 to say; to talk; to speak
淪	leon 4 to sink (into ruin), decline, fall
利	lei 6 benefit; advantage
轉	zyun 2 to turn; to revolve
換	wun 6 to change; to swap; to switch; to substitute
成	sing 4 to succeed
抵	dai 2 (Cantonese) to deserve
操	cou 1 to conduct
照	ziu 3 to shine upon; to illuminate
顧	gu 3 to regard; to concern
溫	wan 1 tepid; mild; soft; tender; gentle
柔	jau 4 gentle; pliant
救	gau 3 to save; to rescu
激	gik 1 drastic; radical; extreme
忠	zung 1 loyal; devoted; faithful
誠	sing 4 sincere, honest; true
狗	gau 2 dog
憂	jau 1 sad; grieved
愁	sau 4 anxiety; sadness
甜	tim 4 sweet
蜜	mat 6 honey
語	yu 3 speech; language
告	gou 3 to announce; to declare
訴	sou 3 to tell; to relate; to inform
新	san 1 new; fresh
透	tau 3 to penetrate; to pass through
完	jyun 4 whole; complete
務	mou 6 to seek; to pursue
喝	hot 6 to shout; to call out
采	coi 2 expression; spirit
謂	wai 6 to say; to tell; to call
搭	daap 3 to lay, to pile up
檯	toi 4 table; desk
怪	gwaai 3 to blame someone, to put the blame on
虐	joek 6 to abuse; to maltreat
讚	zaan 3 to praise; to commend; to eulogize
徬	pong 4 to walk back and forth; to roam around
徨	wong 4 to walk back and forth; to roam around
刻	hak 1 moment in time
彩	coi 2 luck; fortune
認	jing 6 to recognize; to know; to understand; to acknowledge
扮	baan 6 to act, to play
矮	ai 2 (of stature) short
傻	so 4 foolish; silly; stupid
論	leon 6 to discuss; to reason; to debate; to argue
限	haan 6 boundary; limit; line
積	zik 1 to accumulate; to amass; to store; to gather
愉	jyu 4 happy; pleased; delightful
痕	han 4 mark; trace
跡	zik 1 footprint; trace; mark
關	gwaan 1 to concern; to implicate; to relate to
注	zyu 3 to concentrate; to pay attention
據	geoi 3 to occupy; to take possession of
漫	maan 6 free, casual, unrestrained; impromptu
奈	noi 6 to bear; to stand; to endure
設	cit 3 to plan; to design
張	zoeng 1 to stretch; to open up; to spread
畢	bat 1 to end; to finish; to conclude
服	fuk 6 to submit; to agree; to accept; to obey
則	zak 1 rule; law; regulation
爭	zang 1 to contend
吵	caau 2 to argue; to dispute
慣	gwaan 3 to be accustomed to; to be used to
諒	loeng 6 to forgive; to sympathise
纏	cin 4 to wind; to tie; to bind
綿	min 4 soft, downy
番	faan 1 Classifier for the number of times an action has been performed: turn; time
義	ji 6 right conduct; righteousness; justice; morality
衝	cung 1 to go straight ahead; to rush; to charge; to dash
沖	cung 1 to pour water on; to rinse; to flush; to wash
淡	taam 5 (of food) bland; tasteless
渡	dou 6 (figuratively) to pull through (difficult times)
劫	gip 3 disaster; calamity; catastrophe
慘	caam 2 miserable; pitiful; wretched
褊	bin 2 (literary) narrow-minded; lacking in experience
袒	taan 2 bare; to strip oneself naked to the waist
謬	mau 6 false; wrong; erroneous
鬥	dau 3 to fight, to struggle
裝	zong 1 style of dress
妥	to 5 appropriate; suitable
協	hip 3 to cooperate; to work together; to collaborate
善	sin 6 good, virtuous, charitable, kind
試	si 3 to test; to try; to experiment
遷	cin 1 to ascend; to go up (to)
就	zau 6 to comply; to follow; to accept
悟	ng 6 to realize; to become aware; to awaken; to apprehend
價	gaa 3 price; cost
值	zik 6 price
溝	kau 1 ditch; drain; narrow waterway
齣	ceot 1 Classifier for films and TV shows.
誇	kwaa 1 to boast; to exaggerate
侶	leoi 5 companion
偏	pin 1 partial; biased; prejudiced; unjust
仗	zoeng 3 war; battle
決	kyut 3 to decide; to determine
擇	zaak 6 to select; to choose; to pick out
輪	leon 4 to take turns
構	kau 3 to fabricate; to make up
劇	kek 6 theatrical work; play; opera; drama
哀	oi 1 grief; sorrow
廝	si 1 mutually
守	sau 2 to defend; to protect; to guard; to conserve; to watch
隱	jan 2 hidden; concealed
憂	jau 1 grief; melancholy
恐	hung 2 to fear; to be afraid
怕	paa 3 to fear; to be afraid of; to dread
既	gei 3 already
究	gau 3 to reach the end or limit; to exhaust
祝	zuk 1 to offer good wishes
邂	haai 5 to run into somebody by chance (usually pleasantly); to encounter coincidentally
逅	hau 6 to run into somebody by chance (usually pleasantly); to encounter coincidentally
志	zi 3 will; determination; aspiration; ambition
認	jing 6 to recognize; to know; to understand; to acknowledge
兼	gim 1 to do two or more things simultaneously; to hold two or more posts at the same time
俏	ciu 3 pretty; handsome; smart
郎	long 4 (historical) an official's title
君	gwan 1 sovereign; monarch; ruler; chief; prince; lord
敬	ging 3 to respect; to honor
軒	hin 1 high; lofty; airy
揸	zaa 1 to drive a vehicle
箭	zin 3 arrow; rocket
帶	daai 3 to take; to bring along; to carry
歲	seoi 3 age
般	bun 1 sort; kind; class
趣	ceoi 3 interest; delight
戚	cik 1 relative
冧	lam 1 to topple over; to fall over
崩	bang 1 to collapse
翻	faan 1 to reverse; to flip over; to turn over; to toss
睇	tai 2 to look; to see; to view; to watch
乜	mat 1 anything; everything
稱	cing 3 satisfactory
鹹	haam 4 salty; briny
聚	zeoi 6 to congregate
鐘	zung 1 clock
靚	leng 3 pretty; beautiful
皆	gaai 1 all; every; everybody
癲	din 1 crazy; nuts; mad
甘	gam 1 sweet
傻	so 4 foolish; silly; stupid
猩	sing 1 gorilla
若	joek 6 if; supposing; assuming
左	zo 2 left (direction)
島	dou 2 island
假	gaa 2 forged; artificial; false
戲	hei 3 theatrical play; show; theater; opera
麗	lai 6 beautiful; lovely; pretty; fair; elegant
碎	seoi 3 shattered; fragmented; shredded
侶	leoi 5 companion
透	tau 3 to penetrate; to pass through
請	cing 2 to ask for; to request
窩	wo 1 nest
佔	zim 3 to occupy; to possess
據	geoi 3 to occupy; to take possession of
星	sing 1 star; planet; heavenly body
伴	bun 6 to accompany
癡	ci 1 foolish; stupid; dumb; silly
眼	ngaan 5 (anatomy) eye
眶	hong 1 eye socket
漸	zim 6 to advance gradually
引	jan 5 to pull, draw out, attract
消	siu 1 to disappear; to vanish; to die down; to settle down
棄	hei 3 to abandon; to discard; to reject
吹	ceoi 1 to blow
送	sung 3 to see someone off
凍	dung 3 cold; (of weather) chilly
漠	mok 6 desert
始	ci 2 to begin; to start
寂	zik 6 lonely
寥	liu 4 lonely
愁	sau 4 to worry about; to be anxious
各	gok 3 each; every
堆	deoi 1 heap; pile; mound
突	dat 6 suddenly; abruptly; unexpectedly
夜	je 6 night
深	sam 1 (of distance) deep
奔	ban 1 to run fast; to rush about
波	bo 1 (Cantonese) ball
後	hau 6 behind; rear; back
望	mong 6 to see; to watch (especially from a distance) quotations ▼
凡	faan 4 ordinary; commonplace
找	zaau 2 to look for; to seek
根	gan 1 base; basis; foundation
蒂	tai 3 peduncle or stem of plants
永	wing 5 perpetual; eternal; permanent; forever
枯	fu 1 (of muscle) withered; decayed
萎	wai 2 to wither; to wilt
醉	zeoi 3 to become drunk; to become intoxicated
者	ze 2 (agent suffix) -er; -ist; one who ...; person involved in; the things which
滿	mun 5 full; filled; packed
瀉	se 3 to pour out; to flow rapidly; to pour down
編	pin 1 to write; to compose; to author; to compile; to edit
寫	se 2 to write (with a pen, brush, etc.); to write down
懼	geoi 6 to fear; to be afraid
斜	ce 4 tilted; sloping; inclined; oblique; slanting
然	jin 4 so; thus; in this manner; like this
財	coi 4 wealth; valuables; riches; money
滋	zi 1 taste
味	mei 6 taste, flavor
聽	ting 1 to listen; to hear; to listen to
尋	cam 4 to seek; to search; to look for
覓	mik 6 to hunt for; to search for; to seek
與	jyu 5 and (used to connect two nouns)
重	cung 5 heavy
聚	zeoi 6 to congregate
程	cing 4 procedure; process; course
跟	gan 1 to follow
平	ping 4 level; even; flat
靜	zing 6 quiet; silent; devoid of noise
旅	leoi 5 journey; trip
並	bing 6 Used before a negative for emphasis; actually; in fact
驚	ging 1 to fear; to be afraid
動	dung 6 to move; to touch (emotionally)
魄	paak 3 soul; spirit
境	ging 2 condition; situation
需	seoi 1 to need; to require
當	dong 1 just; just at (a time or place); at or in the very same
競	ging 6 to contend; to vie; to compete
逐	zuk 6 to chase; to pursue
躺	tong 2 to lie; to recline
